time,vicon_var1,vicon_var2,vicon_var3,vicon_var5,vicon_var4,vicon_var6,vicon_var7,vicon_var8,opensim_var1,opensim_var2,opensim_var3,opensim_var5,opensim_var4,opensim_var6,opensim_var7,opensim_var8,cardA_var1,cardA_var2,cardA_var3,cardA_var5,cardA_var4,cardA_var6,cardA_var7,cardA_var8,cardB_var1,cardB_var2,cardB_var3,cardB_var5,cardB_var4,cardB_var6,cardB_var7,cardB_var8
0.00000,39.513,-3.711,21.638,101.740,6.109,78.554,11.238,-3.357,58.724,-27.841,-44.676,72.072,58.474,-62.836,22.924,-68.981,157.100,180.000,2.940,-13.611,10.683,1.738,6.684,-2.362,157.100,180.000,2.940,-13.611,8.970,1.738,6.684,-2.362
0.00417,39.501,-3.671,21.645,101.746,6.186,78.550,11.242,-3.349,58.490,-27.856,-44.767,72.140,58.476,-62.875,22.920,-69.011,157.087,180.000,2.973,-13.525,10.749,1.745,6.667,-2.362,157.087,180.000,2.973,-13.525,9.026,1.745,6.667,-2.362
0.00833,39.488,-3.626,21.652,101.754,6.273,78.545,11.248,-3.341,58.516,-27.890,-44.785,72.138,58.487,-62.942,22.942,-69.000,157.071,-180.000,3.011,-13.437,10.824,1.752,6.650,-2.362,157.071,-180.000,3.011,-13.437,9.090,1.752,6.650,-2.362
0.01250,39.476,-3.575,21.661,101.762,6.372,78.540,11.255,-3.332,58.581,-27.890,-44.834,72.171,58.482,-63.062,22.940,-69.022,157.054,-180.000,3.053,-13.351,10.908,1.759,6.632,-2.361,157.054,-180.000,3.053,-13.351,9.163,1.759,6.632,-2.361
0.01667,39.463,-3.519,21.671,101.770,6.482,78.534,11.264,-3.324,58.654,-27.876,-44.885,72.213,58.490,-63.109,22.948,-69.044,157.035,-180.000,3.100,-13.269,11.002,1.768,6.615,-2.360,157.035,-180.000,3.100,-13.269,9.243,1.768,6.615,-2.360
0.02083,39.451,-3.457,21.682,101.779,6.602,78.528,11.274,-3.316,58.626,-27.968,-44.885,72.182,58.522,-63.160,22.931,-69.067,157.014,-180.000,3.151,-13.194,11.105,1.776,6.597,-2.358,157.014,-180.000,3.151,-13.194,9.331,1.776,6.597,-2.358
0.02500,39.441,-3.392,21.694,101.787,6.733,78.521,11.285,-3.308,58.636,-27.981,-44.957,72.234,58.519,-63.234,22.943,-69.071,156.992,180.000,3.206,-13.129,11.217,1.786,6.580,-2.355,156.992,180.000,3.206,-13.129,9.428,1.786,6.580,-2.355
0.02917,39.432,-3.322,21.707,101.795,6.875,78.515,11.298,-3.299,58.850,-27.896,-44.998,72.262,58.508,-63.226,22.903,-69.081,156.969,180.000,3.266,-13.074,11.339,1.795,6.563,-2.351,156.969,180.000,3.266,-13.074,9.533,1.795,6.563,-2.351
0.03333,39.425,-3.248,21.722,101.803,7.028,78.508,11.312,-3.291,58.476,-28.102,-45.037,72.255,58.532,-63.229,22.845,-69.132,156.945,180.000,3.328,-13.032,11.470,1.805,6.548,-2.345,156.945,180.000,3.328,-13.032,9.646,1.805,6.548,-2.345
0.03750,39.420,-3.170,21.738,101.810,7.191,78.501,11.327,-3.283,58.449,-28.191,-45.072,72.255,58.517,-63.225,22.811,-69.142,156.920,-180.000,3.394,-13.003,11.610,1.815,6.534,-2.338,156.920,-180.000,3.394,-13.003,9.768,1.815,6.534,-2.338
