time_s,var1,var2,var3,var4,var5,var6,var7,var8
0.00000,58.7235,-27.8415,-44.6758,58.4742,72.0720,-62.8362,22.9245,-68.9812
0.00417,58.4894,-27.8565,-44.7670,58.4757,72.1400,-62.8750,22.9200,-69.0110
0.00833,58.5164,-27.8899,-44.7846,58.4866,72.1377,-62.9416,22.9425,-68.9997
0.01250,58.5807,-27.8900,-44.8337,58.4819,72.1710,-63.0620,22.9396,-69.0223
0.01667,58.6538,-27.8761,-44.8850,58.4902,72.2132,-63.1088,22.9479,-69.0440
0.02083,58.6259,-27.9682,-44.8851,58.5224,72.1823,-63.1600,22.9313,-69.0671
0.02500,58.6365,-27.9814,-44.9572,58.5188,72.2337,-63.2337,22.9427,-69.0709
0.02917,58.8500,-27.8957,-44.9984,58.5077,72.2618,-63.2255,22.9030,-69.0810
0.03333,58.4765,-28.1017,-45.0366,58.5319,72.2554,-63.2286,22.8450,-69.1321
0.03750,58.4491,-28.1907,-45.0722,58.5172,72.2551,-63.2251,22.8114,-69.1421
0.04167,58.4716,-28.2427,-45.1017,58.5272,72.2427,-63.2668,22.7849,-69.2091
0.04583,58.4174,-28.2811,-45.1759,58.5127,72.2958,-63.2625,22.7347,-69.2227
0.05000,58.3055,-28.3530,-45.2349,58.5017,72.3162,-63.2640,22.7117,-69.2329
0.05417,58.5387,-28.3396,-45.3097,58.5304,72.3624,-63.2903,22.6596,-69.2910
0.05833,58.2635,-28.5278,-45.3130,58.5257,72.3208,-63.3163,22.6285,-69.3127
0.06250,58.1749,-28.5861,-45.3732,58.5139,72.3434,-63.3174,22.6018,-69.3204
0.06667,58.0973,-28.6739,-45.4294,58.5522,72.3728,-63.3393,22.5440,-69.3604
0.07083,58.0786,-28.7791,-45.4548,58.6438,72.3571,-63.7509,22.7415,-69.3411
0.07500,58.0014,-28.8663,-45.5171,58.6644,72.3986,-63.7330,22.6612,-69.3366
0.07917,58.1189,-28.7803,-45.6454,58.6522,72.5238,-63.7285,22.6249,-69.3288
0.08333,58.0780,-28.4897,-45.8114,58.7017,72.6139,-63.7215,22.5284,-69.3647
0.08750,57.8447,-29.1450,-45.6744,58.7123,72.4932,-63.7483,22.4678,-69.3773
0.09167,57.9193,-29.0465,-45.8233,58.7292,72.6579,-63.7842,22.4284,-69.3921
0.09583,58.1023,-28.8930,-45.8807,58.7167,72.6761,-63.7818,22.4050,-69.3651
0.10000,57.8033,-29.2680,-45.9186,58.7439,72.7328,-63.7806,22.2991,-69.3911
0.10417,57.7433,-29.4372,-45.9474,58.7325,72.7522,-63.7815,22.2787,-69.3645
0.10833,57.6475,-29.6169,-45.9691,58.7765,72.7724,-64.0246,22.2502,-69.3844
0.11250,57.8436,-29.4009,-46.1290,58.7652,72.9516,-64.0158,22.2307,-69.3533
0.11667,57.7713,-29.5931,-46.1751,58.7784,73.0198,-64.0032,22.1154,-69.3615
0.12083,57.7489,-29.7314,-46.2356,58.7666,73.0731,-64.0021,22.0917,-69.3396
0.12500,57.7701,-29.8544,-46.2611,58.7621,73.0818,-64.0175,21.9875,-69.3320
0.12917,57.8058,-29.6754,-46.4578,58.7528,73.3350,-64.0239,21.9718,-69.3155
0.13333,57.7312,-30.0893,-46.3583,58.7422,73.1817,-64.1147,21.8599,-69.3146
0.13750,57.7688,-30.2296,-46.3621,58.7338,73.1807,-64.1176,21.8568,-69.2992
0.14167,57.7886,-30.3143,-46.4582,58.7833,73.2794,-64.5130,21.8523,-69.2038
0.14583,57.7918,-30.2958,-46.5824,58.7868,73.3900,-64.6054,21.8171,-69.1710
0.15000,57.8691,-30.4510,-46.6092,58.7699,73.4144,-64.6636,21.7630,-69.1315
0.15417,58.0820,-30.4911,-46.6885,58.7352,73.5017,-64.7092,21.6855,-69.1110
0.15833,58.1595,-30.5276,-46.7527,58.6966,73.5417,-64.7507,21.6288,-69.0919
0.16250,58.4372,-30.5889,-46.7571,58.6569,73.5727,-64.7920,21.5683,-69.0671
0.16667,58.5745,-30.7078,-46.8553,58.5989,73.6361,-64.8194,21.5014,-69.0511
0.17083,58.8519,-30.6394,-46.9051,58.5544,73.7274,-64.8353,21.4654,-69.0137
0.17500,58.6451,-30.7496,-46.9751,58.5085,73.7570,-64.9343,21.4317,-68.9837
0.17917,58.9471,-30.7672,-47.0167,58.4417,73.7942,-64.9259,21.3396,-68.9956
0.18333,59.1965,-30.7951,-47.0867,58.4062,73.8883,-64.9846,21.3253,-68.9620
0.18750,59.4660,-30.8062,-47.1203,58.3502,73.9596,-65.0044,21.2645,-68.9510
0.19167,59.3194,-30.8522,-47.2324,58.2869,74.0432,-65.0854,21.2338,-68.9352
0.19583,59.6675,-30.8458,-47.2605,58.2267,74.1139,-65.1013,21.1856,-68.9410
0.20000,59.9478,-30.9125,-47.3026,58.1950,74.1756,-65.1627,21.1769,-68.9065
0.20417,59.9617,-30.9850,-47.3443,58.1182,74.2317,-65.1924,21.1379,-68.9222
0.20833,60.3254,-30.9014,-47.4253,58.0721,74.3909,-65.1997,21.1077,-68.9163
0.21250,60.5386,-31.0546,-47.4366,58.0269,74.4623,-65.2342,21.1033,-68.9118
0.21667,60.4572,-30.9501,-47.5586,57.9945,74.5994,-65.2695,21.0802,-68.8900
0.22083,60.8225,-30.9539,-47.5845,57.9363,74.7074,-65.2912,21.0736,-68.9066
0.22500,61.0286,-30.9936,-47.6412,57.8989,74.8119,-65.3228,21.0811,-68.8951
0.22917,61.0680,-30.9997,-47.7077,57.8697,74.9381,-65.3562,21.0752,-68.8969
0.23333,61.3156,-30.9290,-47.8011,57.8459,75.1156,-65.3724,21.0842,-68.8809
0.23750,61.4442,-31.0505,-47.8321,57.8179,75.2132,-65.3954,21.0929,-68.8904
0.24167,61.7330,-31.0655,-47.8544,57.8095,75.3372,-65.4256,21.1072,-68.8743
0.24583,62.0196,-31.0404,-47.9029,57.7807,75.4997,-65.4611,21.1438,-68.8531
0.25000,62.0609,-31.0721,-47.9544,57.7891,75.6122,-65.4823,21.1557,-68.8433
0.25417,62.4342,-31.0781,-47.9820,57.7890,75.7436,-65.6101,21.1381,-68.8692
0.25833,62.4215,-31.1464,-48.0414,57.7732,75.8750,-65.5648,21.2052,-68.8120
0.26250,62.7214,-31.1053,-48.1053,57.7826,76.0637,-65.6352,21.3009,-68.7736
