time_s,os_var1,os_var2,os_var3,os_var5,os_var4,os_var6,os_var7,os_var8,vicon_var1,vicon_var2,vicon_var3,vicon_var5,vicon_var4,vicon_var6,vicon_var7,vicon_var8
0.00000,58.724,-27.841,-44.676,72.072,58.474,-62.836,22.924,-68.981,39.513,-3.711,21.638,101.740,6.109,78.554,11.238,-3.357
0.00417,58.489,-27.857,-44.767,72.140,58.476,-62.875,22.920,-69.011,39.501,-3.671,21.645,101.746,6.186,78.550,11.242,-3.349
0.00833,58.516,-27.890,-44.785,72.138,58.487,-62.942,22.942,-69.000,39.488,-3.626,21.652,101.754,6.273,78.545,11.248,-3.341
0.01250,58.581,-27.890,-44.834,72.171,58.482,-63.062,22.940,-69.022,39.476,-3.575,21.661,101.762,6.372,78.540,11.255,-3.332
0.01667,58.654,-27.876,-44.885,72.213,58.490,-63.109,22.948,-69.044,39.463,-3.519,21.671,101.770,6.482,78.534,11.264,-3.324
0.02083,58.626,-27.968,-44.885,72.182,58.522,-63.160,22.931,-69.067,39.451,-3.457,21.682,101.779,6.602,78.528,11.274,-3.316
0.02500,58.636,-27.981,-44.957,72.234,58.519,-63.234,22.943,-69.071,39.441,-3.392,21.694,101.787,6.733,78.521,11.285,-3.308
0.02917,58.850,-27.896,-44.998,72.262,58.508,-63.225,22.903,-69.081,39.432,-3.322,21.707,101.795,6.875,78.515,11.298,-3.299
0.03333,58.477,-28.102,-45.037,72.255,58.532,-63.229,22.845,-69.132,39.425,-3.248,21.722,101.803,7.027,78.508,11.312,-3.291
0.03750,58.449,-28.191,-45.072,72.255,58.517,-63.225,22.811,-69.142,39.420,-3.170,21.738,101.810,7.191,78.501,11.327,-3.283
0.04167,58.472,-28.243,-45.102,72.243,58.527,-63.267,22.785,-69.209,39.418,-3.090,21.755,101.818,7.365,78.494,11.343,-3.274
0.04583,58.417,-28.281,-45.176,72.296,58.513,-63.263,22.735,-69.223,39.418,-3.006,21.773,101.825,7.549,78.487,11.360,-3.266
0.05000,58.306,-28.353,-45.235,72.316,58.502,-63.264,22.712,-69.233,39.420,-2.920,21.793,101.833,7.745,78.481,11.378,-3.257
0.05417,58.539,-28.340,-45.310,72.362,58.530,-63.290,22.660,-69.291,39.426,-2.831,21.814,101.842,7.951,78.474,11.398,-3.248
0.05833,58.264,-28.528,-45.313,72.321,58.526,-63.316,22.628,-69.313,39.434,-2.740,21.836,101.852,8.167,78.469,11.419,-3.239
0.06250,58.175,-28.586,-45.373,72.343,58.514,-63.317,22.602,-69.320,39.445,-2.646,21.859,101.864,8.392,78.464,11.441,-3.229
0.06667,58.097,-28.674,-45.429,72.373,58.552,-63.339,22.544,-69.360,39.458,-2.551,21.884,101.879,8.625,78.459,11.465,-3.218
0.07083,58.079,-28.779,-45.455,72.357,58.644,-63.751,22.741,-69.341,39.474,-2.455,21.910,101.897,8.863,78.456,11.490,-3.206
0.07500,58.001,-28.866,-45.517,72.399,58.664,-63.733,22.661,-69.337,39.492,-2.358,21.937,101.919,9.107,78.453,11.516,-3.194
0.07917,58.119,-28.780,-45.645,72.524,58.652,-63.728,22.625,-69.329,39.512,-2.260,21.965,101.946,9.354,78.453,11.544,-3.181
0.08333,58.078,-28.490,-45.811,72.614,58.702,-63.721,22.528,-69.365,39.534,-2.161,21.995,101.979,9.599,78.453,11.573,-3.167
0.08750,57.845,-29.145,-45.674,72.493,58.712,-63.748,22.468,-69.377,39.557,-2.063,22.025,102.018,9.843,78.455,11.602,-3.152
0.09167,57.919,-29.047,-45.823,72.658,58.729,-63.784,22.428,-69.392,39.580,-1.966,22.056,102.063,10.081,78.460,11.633,-3.136
0.09583,58.102,-28.893,-45.881,72.676,58.717,-63.782,22.405,-69.365,39.603,-1.869,22.088,102.113,10.312,78.466,11.663,-3.119
0.10000,57.803,-29.268,-45.919,72.733,58.744,-63.781,22.299,-69.391,39.625,-1.774,22.120,102.169,10.532,78.474,11.694,-3.102
0.10417,57.743,-29.437,-45.947,72.752,58.733,-63.782,22.279,-69.365,39.646,-1.680,22.153,102.231,10.739,78.484,11.725,-3.083
0.10833,57.648,-29.617,-45.969,72.772,58.776,-64.025,22.250,-69.384,39.663,-1.589,22.186,102.297,10.930,78.497,11.755,-3.064
0.11250,57.844,-29.401,-46.129,72.952,58.765,-64.016,22.231,-69.353,39.676,-1.500,22.220,102.367,11.105,78.512,11.784,-3.045
0.11667,57.771,-29.593,-46.175,73.020,58.778,-64.003,22.115,-69.362,39.685,-1.415,22.253,102.442,11.260,78.528,11.812,-3.025
0.12083,57.749,-29.731,-46.236,73.073,58.767,-64.002,22.092,-69.340,39.687,-1.333,22.287,102.519,11.395,78.548,11.838,-3.005
0.12500,57.770,-29.854,-46.261,73.082,58.762,-64.017,21.988,-69.332,39.683,-1.255,22.320,102.600,11.508,78.568,11.862,-2.985
0.12917,57.806,-29.675,-46.458,73.335,58.753,-64.024,21.972,-69.316,39.671,-1.181,22.353,102.684,11.599,78.591,11.884,-2.965
0.13333,57.731,-30.089,-46.358,73.182,58.742,-64.115,21.860,-69.315,39.650,-1.112,22.385,102.769,11.665,78.616,11.902,-2.945
